category_clean,rank_global,title,shop_name,source,price,price_tier,rating_filled,composite_score,discount_pct,available,nb_reviews,nb_variants,product_url
outerwear,68,SET X PARKE HORSESHOE JEANS - RHUBARB,set_active,shopify,133.0,premium,4.8,0.9534,30.0,True,0,10,https://setactive.co/products/set-x-parke-horseshoe-jeans-rhubarb
outerwear,780,SET X PARKE COTTON V-NECK SWEATER - CREAM,set_active,shopify,122.5,premium,4.8,0.7735,30.0,True,0,3,https://setactive.co/products/set-x-parke-cotton-v-neck-sweater-cream
outerwear,781,SET X PARKE COTTON CREWNECK - CREAM,set_active,shopify,122.5,premium,4.8,0.7727,30.0,True,0,3,https://setactive.co/products/set-x-parke-cotton-crewneck-cream
outerwear,799,Initial Nylon Track Jacket - Coffee,represent,shopify,195.0,premium,4.8,0.7636,0.0,True,0,6,https://representclo.com/products/initial-nylon-track-jacket-coffee
outerwear,846,Faux Shearling Jacket - Cafe,represent,shopify,380.0,premium,4.8,0.7617,0.0,True,0,6,https://representclo.com/products/faux-shearling-jacket-cafe
outerwear,853,247 Full Zip Fleece - Umber,represent,shopify,200.0,premium,4.8,0.7611,0.0,True,0,6,https://representclo.com/products/247-full-zip-fleece-umber
outerwear,859,Hooded Bomber - Beige,represent,shopify,445.0,premium,4.8,0.761,0.0,True,0,6,https://representclo.com/products/hooded-bomber-beige
outerwear,872,Represent X Puma Jacket - Night Pine,represent,shopify,275.0,premium,4.8,0.7604,0.0,True,0,6,https://representclo.com/products/represent-x-puma-jacket-night-pine
outerwear,873,247 Taped Jacket - Chrome,represent,shopify,275.0,premium,4.8,0.7604,0.0,True,0,6,https://representclo.com/products/247-taped-jacket-chrome
outerwear,875,Smart Bomber - Nero,represent,shopify,345.0,premium,4.8,0.7604,0.0,True,0,6,https://representclo.com/products/smart-bomber-nero
mens graphic tops,85,Valor Tee (Thin Gold Line),born_primitive,shopify,14.4,budget,4.7,0.9283,55.0,True,0,7,https://bornprimitive.com/products/valor-tee-thin-gold-line
mens graphic tops,164,Freedom Paid In Full Tee (Tactical Green),born_primitive,shopify,19.2,budget,4.7,0.899,40.0,True,0,7,https://bornprimitive.com/products/freedom-paid-in-full-tee-tactical-green
mens graphic tops,165,Live Free Tee (White),born_primitive,shopify,19.2,budget,4.7,0.899,40.0,True,0,7,https://bornprimitive.com/products/live-free-tee-white
mens graphic tops,166,Property of Born Primitive Tee (Tactical Green),born_primitive,shopify,19.2,budget,4.7,0.899,40.0,True,0,7,https://bornprimitive.com/products/property-of-born-primitive-tee-tactical-green
