title,shop_name,source,category_clean,price,price_tier,rating_filled,nb_reviews,composite_score,discount_pct,cluster_kmeans,cluster_dbscan,is_anomaly,pca_x,pca_y
Custom Tape - Scary Sticky,goat_tape,shopify,custom tape,1071.0,premium,5.0,0,0.7,0.0,2,-1,1,2.521568552228426,7.210653033054878
Be U Trucker Hat,nobull,shopify,accessories,20.0,budget,4.7,0,0.6868,28.6,1,-1,1,-1.2658537975251902,-0.4217701429113802
NOBULL Performance Hat,nobull,shopify,accessories,28.0,budget,4.7,0,0.686,20.0,0,-1,1,-1.1324717348667748,-0.14741371837542996
247 Boxers - Black,represent,shopify,accessories,40.0,budget,4.8,0,0.684,0.0,0,-1,1,-0.9808078662640037,0.8488462468106496
Recycled Belt Bag - Auburn,allbirds,shopify,accessories,25.0,budget,4.4,0,0.6628,28.6,3,-1,1,-1.5358145571489326,-1.458764985026444
Running Hat,nobull,shopify,accessories,28.0,budget,4.7,0,0.661,20.0,0,-1,1,-1.3645030219849268,-0.09747200339909877
Recycled Shoe Bag - Thunder Green,allbirds,shopify,accessories,15.0,budget,4.4,0,0.652,25.0,3,-1,1,-1.6948815661708598,-1.3846447523987788
Thumb Strips,goat_tape,shopify,thumb,9.99,budget,5.0,0,0.65,0.0,0,-1,1,-0.6613626385593969,1.3872678614909146
Retail Display,goat_tape,shopify,retaildisplay,4.99,budget,5.0,0,0.65,0.0,0,-1,1,-1.6615298043953999,1.5119097826382815
Thumb Strips Wholesale,goat_tape,shopify,bulk,132.0,premium,5.0,0,0.65,0.0,2,-1,1,-0.11489411968505774,2.032487781449406
Recycled Tote Bag - Rugged Beige,allbirds,shopify,accessories,35.0,budget,4.4,0,0.6436,22.2,3,-1,1,-1.626605456454812,-1.1905422610247465
Michael Zip Boot Suede - Brown,represent,shopify,footwear,410.0,premium,4.8,0,0.634,0.0,2,-1,1,3.257466593677411,2.2484027473944947
