antecedents,consequents,support,confidence,lift,leverage,conviction
"bcp_images, bcp_variants, indispo, prix_premium, sans_promo, score_faible",note_haute,0.085,1.0,1.379,0.0234,inf
"bcp_images, bcp_variants, note_haute, score_faible","indispo, sans_promo",0.091,1.0,5.3457,0.074,inf
"bcp_images, en_promo, prix_mid, score_excellent",dispo,0.0536,1.0,1.3406,0.0136,inf
"bcp_variants, en_promo, prix_mid, score_excellent",dispo,0.054,1.0,1.3406,0.0137,inf
"bcp_images, bcp_variants, prix_premium, sans_promo, score_faible",indispo,0.085,1.0,3.9364,0.0634,inf
"bcp_variants, note_haute, sans_promo, score_faible",indispo,0.0961,1.0,3.9364,0.0717,inf
"bcp_variants, indispo, note_haute, score_faible",sans_promo,0.0961,1.0,1.5553,0.0343,inf
"bcp_variants, note_haute, score_faible","indispo, sans_promo",0.0961,1.0,5.3457,0.0781,inf
"en_promo, score_excellent",dispo,0.1797,1.0,1.3406,0.0456,inf
"dispo, note_haute, sans_promo, score_faible",peu_images,0.091,1.0,3.7652,0.0668,inf
"dispo, note_haute, peu_images, score_faible",sans_promo,0.091,1.0,1.5553,0.0325,inf
"bcp_variants, prix_premium, sans_promo, score_faible",note_haute,0.0878,1.0,1.379,0.0241,inf
"bcp_variants, note_haute, prix_premium, score_faible",sans_promo,0.0878,1.0,1.5553,0.0313,inf
"bcp_variants, prix_premium, score_faible","note_haute, sans_promo",0.0878,1.0,2.0367,0.0447,inf
"bcp_images, peu_variants, prix_premium, sans_promo",note_haute,0.0545,1.0,1.379,0.015,inf
"dispo, note_haute, score_faible","peu_images, peu_variants, sans_promo",0.091,1.0,6.2034,0.0763,inf
"bcp_images, bcp_variants, note_haute, sans_promo, score_faible",indispo,0.091,1.0,3.9364,0.0679,inf
"bcp_images, bcp_variants, indispo, note_haute, score_faible",sans_promo,0.091,1.0,1.5553,0.0325,inf
"indispo, prix_premium, sans_promo, score_faible",note_haute,0.1062,1.0,1.379,0.0292,inf
"bcp_images, indispo, prix_premium, sans_promo",note_haute,0.1141,1.0,1.379,0.0314,inf
"bcp_variants, indispo, prix_premium, sans_promo",note_haute,0.1035,1.0,1.379,0.0284,inf
"bcp_images, dispo, note_haute, peu_variants, sans_promo",score_bon,0.073,1.0,2.1957,0.0397,inf
"bcp_images, note_haute, peu_variants, sans_promo, score_bon",dispo,0.073,1.0,1.3406,0.0185,inf
"sans_promo, score_excellent",bcp_variants,0.0665,1.0,1.7142,0.0277,inf
"sans_promo, score_excellent",dispo,0.0665,1.0,1.3406,0.0169,inf
"dispo, score_faible",sans_promo,0.1044,1.0,1.5553,0.0373,inf
"bcp_variants, note_haute, prix_premium, score_excellent",dispo,0.0605,1.0,1.3406,0.0154,inf
"dispo, note_haute, prix_premium, score_excellent",bcp_variants,0.0605,1.0,1.7142,0.0252,inf
"note_haute, prix_premium, score_excellent","bcp_variants, dispo",0.0605,1.0,2.463,0.0359,inf
"bcp_images, prix_premium, sans_promo, score_faible",note_haute,0.0988,1.0,1.379,0.0272,inf
"peu_variants, prix_premium, sans_promo, score_bon",note_haute,0.0536,1.0,1.379,0.0147,inf
"note_moyenne, score_excellent",dispo,0.0864,1.0,1.3406,0.0219,inf
"bcp_images, bcp_variants, en_promo, note_haute, score_excellent",dispo,0.0891,1.0,1.3406,0.0226,inf
"bcp_images, bcp_variants, note_haute, score_faible",sans_promo,0.091,1.0,1.5553,0.0325,inf
"bcp_images, note_haute, sans_promo, score_faible",indispo,0.1081,1.0,3.9364,0.0806,inf
"note_haute, peu_variants, prix_premium, score_bon",dispo,0.0554,1.0,1.3406,0.0141,inf
"dispo, peu_variants, prix_premium, score_bon",note_haute,0.0554,1.0,1.379,0.0152,inf
"peu_variants, prix_premium, score_bon","dispo, note_haute",0.0554,1.0,1.8842,0.026,inf
"bcp_images, note_haute, prix_premium, score_excellent",dispo,0.0596,1.0,1.3406,0.0151,inf
"bcp_variants, en_promo, note_haute, score_excellent",dispo,0.1109,1.0,1.3406,0.0282,inf
"bcp_images, dispo, prix_premium, score_excellent",bcp_variants,0.079,1.0,1.7142,0.0329,inf
"bcp_images, prix_premium, score_excellent","bcp_variants, dispo",0.079,1.0,2.463,0.0469,inf
"bcp_images, bcp_variants, prix_premium, score_faible",indispo,0.085,1.0,3.9364,0.0634,inf
"bcp_images, bcp_variants, prix_premium, score_faible",sans_promo,0.085,1.0,1.5553,0.0303,inf
"bcp_images, bcp_variants, prix_premium, sans_promo, score_faible","indispo, note_haute",0.085,1.0,5.1425,0.0685,inf
"dispo, note_haute, score_faible","peu_images, sans_promo",0.091,1.0,5.4534,0.0743,inf
"dispo, note_haute, sans_promo, score_faible",peu_variants,0.091,1.0,2.4002,0.0531,inf
"dispo, note_haute, peu_variants, score_faible",sans_promo,0.091,1.0,1.5553,0.0325,inf
"dispo, note_haute, score_faible","peu_variants, sans_promo",0.091,1.0,3.5376,0.0653,inf
"note_haute, peu_variants, sans_promo, score_bon",dispo,0.1113,1.0,1.3406,0.0283,inf
"bcp_images, en_promo, note_haute, score_excellent",dispo,0.0919,1.0,1.3406,0.0234,inf
"bcp_variants, prix_premium, sans_promo, score_faible",indispo,0.0878,1.0,3.9364,0.0655,inf
"bcp_variants, indispo, prix_premium, score_faible",sans_promo,0.0878,1.0,1.5553,0.0313,inf
"bcp_variants, prix_premium, score_faible","indispo, sans_promo",0.0878,1.0,5.3457,0.0713,inf
"bcp_variants, score_excellent",dispo,0.2393,1.0,1.3406,0.0608,inf
"bcp_images, bcp_variants, note_haute, prix_premium, sans_promo, score_faible",indispo,0.085,1.0,3.9364,0.0634,inf
"bcp_images, indispo, prix_premium, score_faible",note_haute,0.0993,1.0,1.379,0.0273,inf
"bcp_images, note_haute, prix_premium, score_faible",indispo,0.0993,1.0,3.9364,0.0741,inf
"bcp_images, prix_premium, score_faible","indispo, note_haute",0.0993,1.0,5.1425,0.08,inf
"bcp_variants, indispo, prix_premium, score_faible",note_haute,0.0878,1.0,1.379,0.0241,inf
"bcp_variants, note_haute, prix_premium, score_faible",indispo,0.0878,1.0,3.9364,0.0655,inf
"bcp_variants, prix_premium, score_faible","indispo, note_haute",0.0878,1.0,5.1425,0.0707,inf
"dispo, note_haute, peu_variants, score_faible","peu_images, sans_promo",0.091,1.0,5.4534,0.0743,inf
"dispo, note_haute, peu_images, score_faible","peu_variants, sans_promo",0.091,1.0,3.5376,0.0653,inf
"bcp_images, bcp_variants, indispo, prix_premium",note_haute,0.1012,1.0,1.379,0.0278,inf
"bcp_images, note_haute, prix_premium, sans_promo, score_faible",indispo,0.0988,1.0,3.9364,0.0737,inf
"bcp_images, prix_premium, sans_promo, score_faible","indispo, note_haute",0.0988,1.0,5.1425,0.0796,inf
"bcp_variants, note_haute, prix_premium, score_faible","indispo, sans_promo",0.0878,1.0,5.3457,0.0713,inf
"bcp_variants, prix_premium, score_faible","indispo, note_haute, sans_promo",0.0878,1.0,6.9391,0.0751,inf
"bcp_variants, note_haute, prix_premium, sans_promo, score_faible",indispo,0.0878,1.0,3.9364,0.0655,inf
"bcp_variants, indispo, note_haute, prix_premium, score_faible",sans_promo,0.0878,1.0,1.5553,0.0313,inf
"bcp_variants, prix_premium, sans_promo, score_faible","indispo, note_haute",0.0878,1.0,5.1425,0.0707,inf
"bcp_variants, indispo, prix_premium, score_faible","note_haute, sans_promo",0.0878,1.0,2.0367,0.0447,inf
"bcp_variants, indispo, prix_premium, sans_promo, score_faible",note_haute,0.0878,1.0,1.379,0.0241,inf
"bcp_images, bcp_variants, indispo, prix_premium, sans_promo",note_haute,0.1002,1.0,1.379,0.0275,inf
"bcp_images, prix_mid, score_excellent",dispo,0.06,1.0,1.3406,0.0153,inf
"en_promo, prix_mid, score_excellent",dispo,0.0545,1.0,1.3406,0.0138,inf
"note_moyenne, prix_mid, score_excellent",dispo,0.0591,1.0,1.3406,0.015,inf
"bcp_images, bcp_variants, indispo, note_haute, prix_premium, score_faible",sans_promo,0.085,1.0,1.5553,0.0303,inf
"dispo, note_haute, peu_variants, sans_promo, score_faible",peu_images,0.091,1.0,3.7652,0.0668,inf
"bcp_variants, indispo, prix_premium",note_haute,0.1044,1.0,1.379,0.0287,inf
"peu_variants, prix_premium, sans_promo, score_bon","dispo, note_haute",0.0536,1.0,1.8842,0.0251,inf
"bcp_images, bcp_variants, prix_premium, sans_promo, score_faible",note_haute,0.085,1.0,1.379,0.0234,inf
"dispo, peu_variants, prix_premium, sans_promo, score_bon",note_haute,0.0536,1.0,1.379,0.0147,inf
"note_haute, peu_variants, prix_premium, sans_promo, score_bon",dispo,0.0536,1.0,1.3406,0.0136,inf
"bcp_images, bcp_variants, prix_premium, score_faible","indispo, note_haute, sans_promo",0.085,1.0,6.9391,0.0727,inf
"prix_premium, sans_promo, score_faible",note_haute,0.1118,1.0,1.379,0.0307,inf
"peu_variants, prix_premium, sans_promo",note_haute,0.0776,1.0,1.379,0.0213,inf
"bcp_images, en_promo, note_moyenne, prix_mid, score_excellent","bcp_variants, dispo",0.0517,1.0,2.463,0.0307,inf
